Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance,Raw
1679334426.4368663,5057,1679334426,40139269,imu1_frame,0,0,0,,0.006813355790196697,0.014347517173522603,-0.6591734516863452,0.7518231757040622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000719,-0.001286,-0.000405,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.277,0.027,-9.739,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0239,0.3683,0.6486,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.494,+001.751,-000.497,+00.0239,+00.3683,+00.6486,+00.277,+00.027,-09.739,+00.000719,-00.001286,-00.000405*69"
1679334426.4369237,5058,1679334426,42569684,imu1_frame,0,0,0,,0.006812297511266215,0.014359948576486446,-0.6591600881173854,0.7518346644792188,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00048,0.00014,0.001017,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.302,0.096,-9.696,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0273,0.375,0.646,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.492,+001.752,-000.498,+00.0273,+00.3750,+00.6460,+00.302,+00.096,-09.696,-00.000480,+00.000140,+00.001017*6C"
1679334426.4806936,5059,1679334426,45227432,imu1_frame,0,0,0,,0.006819040583560627,0.014342181377683689,-0.6591276493764102,0.7518633814373309,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000621,0.00202,-0.000189,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.235,0.034,-9.624,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0282,0.3716,0.6449,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.487,+001.751,-000.496,+00.0282,+00.3716,+00.6449,+00.235,+00.034,-09.624,+00.000621,+00.002020,-00.000189*6D"
1679334426.4807858,5060,1679334426,47560667,imu1_frame,0,0,0,,0.006837540563899342,0.014337416925393111,-0.6591080994216063,0.751880442485228,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000242,-0.000391,9e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.303,-0.025,-9.717,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0366,0.3714,0.6527,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.484,+001.752,-000.494,+00.0366,+00.3714,+00.6527,+00.303,-00.025,-09.717,+00.000242,-00.000391,+00.000090*6F"
1679334426.524687,5061,1679334426,50200581,imu1_frame,0,0,0,,0.006818164456833975,0.014342597902409087,-0.659081719426291,0.7519036438513468,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001916,0.001845,-0.000914,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.254,0.09,-9.684,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0062,0.3767,0.6454,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.480,+001.751,-000.496,+00.0062,+00.3767,+00.6454,+00.254,+00.090,-09.684,-00.001916,+00.001845,-00.000914*67"
1679334426.5294096,5062,1679334426,52559638,imu1_frame,0,0,0,,0.006812537120829954,0.014335977615622476,-0.6590883972732994,0.7518979675883524,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000409,0.001953,-1e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.244,0.067,-9.68,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0251,0.3728,0.6473,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.481,+001.750,-000.496,+00.0251,+00.3728,+00.6473,+00.244,+00.067,-09.680,-00.000409,+00.001953,-00.000010*6F"
1679334426.57409,5063,1679334426,55173206,imu1_frame,0,0,0,,0.006832596622196021,0.014318543844766048,-0.6591084567746656,0.7518805338174959,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001547,-0.001056,3.9e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.24,0.009,-9.726,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0441,0.3723,0.6504,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.484,+001.750,-000.493,+00.0441,+00.3723,+00.6504,+00.240,+00.009,-09.726,+00.001547,-00.001056,+00.000039*68"
1679334426.6173065,5064,1679334426,57564973,imu1_frame,0,0,0,,0.006826410233331463,0.014324116940476818,-0.6591280157587318,0.7518633377410808,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000962,0.000641,-0.000787,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.273,0.088,-9.688,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.0138,0.3783,0.641,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.487,+001.750,-000.494,-00.0138,+00.3783,+00.6410,+00.273,+00.088,-09.688,-00.000962,+00.000641,-00.000787*6C"
1679334426.6173892,5065,1679334426,60191535,imu1_frame,0,0,0,,0.006813846155859022,0.014323427355768832,-0.6591148843101009,0.7518749764490308,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000475,0.00175,-0.000601,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.245,0.072,-9.702,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0451,0.3712,0.6504,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.485,+001.749,-000.495,+00.0451,+00.3712,+00.6504,+00.245,+00.072,-09.702,-00.000475,+00.001750,-00.000601*60"
1679334426.6612098,5066,1679334426,62565755,imu1_frame,0,0,0,,0.006825285198764519,0.014324653041303077,-0.6590689625174172,0.7519151032153945,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000606,-0.00151,-9e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.318,0.036,-9.702,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.024,0.3717,0.6498,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-082.478,+001.750,-000.494,+00.0240,+00.3717,+00.6498,+00.318,+00.036,-09.702,-00.000606,-00.001510,-00.000009*6D"
