Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
80729.0,0,80729,0,GPS1_Frame,42.33513333333334,-71.09477,17.0,1.8,327425.7549817285,4689111.875201839,0.0,19,T
80730.0,0,80730,0,GPS1_Frame,42.335075,-71.09481000000001,16.8,1.3,327422.29994248465,4689105.478908979,0.0,19,T
80731.0,0,80731,0,GPS1_Frame,42.335023333333325,-71.09484333333333,16.5,1.3,327419.4123802988,4689099.809369969,0.0,19,T
80732.0,0,80732,0,GPS1_Frame,42.334979999999995,-71.09487166666666,16.1,1.3,327416.9595447004,4689095.055037397,0.0,19,T
80733.0,0,80733,0,GPS1_Frame,42.33495,-71.09489,14.6,1.3,327415.3670504038,4689091.760974823,0.0,19,T
80734.0,0,80734,0,GPS1_Frame,42.33493,-71.09490166666666,13.9,1.3,327414.3511573918,4689089.563805738,0.0,19,T
80735.0,0,80735,0,GPS1_Frame,42.33491833333333,-71.09491,13.4,1.3,327413.63268362434,4689088.285224614,0.0,19,T
80736.0,0,80736,0,GPS1_Frame,42.33491000000001,-71.094915,13.0,1.3,327413.1979518757,4689087.370019467,0.0,19,T
80737.0,0,80737,0,GPS1_Frame,42.334905,-71.09491666666666,12.6,1.3,327413.0469623138,4689086.818190245,0.0,19,T
80738.0,0,80738,0,GPS1_Frame,42.33490333333332,-71.09492,12.9,1.3,327412.767779242,4689086.639884974,0.0,19,T
80739.0,0,80739,0,GPS1_Frame,42.33490333333332,-71.09492333333333,13.2,1.3,327412.4931553856,4689086.646650351,0.0,19,T
80740.0,0,80740,0,GPS1_Frame,42.3349,-71.09492666666667,13.3,1.3,327412.2094130572,4689086.28327447,0.0,19,T
80741.0,0,80741,0,GPS1_Frame,42.33488833333334,-71.09493666666667,13.5,1.3,327411.35362663714,4689085.008076262,0.0,19,T
