Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,IMU_backup
1698874269.370077,0,1698874269,336280345,GPS1_Frame,0,0,0,,-0.20720963491050093,-0.7889284200048312,0.5718618248566529,0.08735083617548439,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.108807,0.012512,0.885959,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.959,9.074,1.537,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.091e-05,-3.772e-05,-2.774e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+154.598,+005.691,-109.410,-00.3091,-00.3772,-00.2774,+00.959,+09.074,+01.537,+00.108807,+00.012512,+00.885959*6C
"
1698874269.3803973,0,1698874269,370131492,GPS1_Frame,0,0,0,,-0.2145615170121232,-0.7864854287938474,0.5735210944484567,0.08048341403704741,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.022236,-0.144908,0.752288,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.622,8.221,1.07,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.132e-05,-3.7369999999999996e-05,-2.7510000000000003e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+154.347,+006.864,-109.364,-00.3132,-00.3737,-00.2751,+01.622,+08.221,+01.070,+00.022236,-00.144908,+00.752288*62
"
1698874269.402728,0,1698874269,381421327,GPS1_Frame,0,0,0,,-0.21960433455655295,-0.7846774104357842,0.5745646203949236,0.07701165357400519,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.107739,0.152722,0.370879,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.731,8.185,0.8,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.196e-05,-3.747e-05,-2.752e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+154.092,+007.556,-109.315,-00.3196,-00.3747,-00.2752,+01.731,+08.185,+00.800,+00.107739,+00.152722,+00.370879*63
"
1698874269.4295015,0,1698874269,416414737,GPS1_Frame,0,0,0,,-0.22339552626338127,-0.7827514734070423,0.5754519135085778,0.07905482252163645,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.151544,0.334397,0.098713,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.312,9.255,1.5,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.1740000000000004e-05,-3.7130000000000005e-05,-2.803e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+153.597,+007.663,-109.156,-00.3174,-00.3713,-00.2803,+01.312,+09.255,+01.500,+00.151544,+00.334397,+00.098713*61
"
1698874269.4588368,0,1698874269,433184862,GPS1_Frame,0,0,0,,-0.22663940030551455,-0.781100744947477,0.5762126836188114,0.08059250404634903,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.095328,0.140524,0.237658,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.057,10.154,2.009,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.2040000000000005e-05,-3.655e-05,-2.754e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+153.187,+007.775,-109.024,-00.3204,-00.3655,-00.2754,+01.057,+10.154,+02.009,+00.095328,+00.140524,+00.237658*68
"
1698874269.4872515,0,1698874269,459289312,GPS1_Frame,0,0,0,,-0.2300594263247481,-0.7793274049883677,0.577540360104889,0.07854036314621604,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.112576,-0.054807,0.398038,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.746,10.396,2.041,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.226e-05,-3.7e-05,-2.754e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+153.000,+008.240,-108.899,-00.3226,-00.3700,-00.2754,+00.746,+10.396,+02.041,+00.112576,-00.054807,+00.398038*6B
"
1698874269.496764,0,1698874269,487566709,GPS1_Frame,0,0,0,,-0.23345095362890161,-0.7777037647914411,0.5791542426770419,0.07251116926486312,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.016131,-0.327937,0.602631,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.768,10.703,1.83,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.256e-05,-3.642000000000001e-05,-2.768e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+153.079,+009.069,-108.825,-00.3256,-00.3642,-00.2768,+00.768,+10.703,+01.830,+00.016131,-00.327937,+00.602631*62
"
1698874269.5400748,0,1698874269,511165857,GPS1_Frame,0,0,0,,-0.23753982980543442,-0.7760936350024403,0.5808102714742472,0.06255339730754284,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.07344,-0.529917,0.836157,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.453,10.223,1.52,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.32e-05,-3.652e-05,-2.7450000000000003e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+153.346,+010.302,-108.826,-00.3320,-00.3652,-00.2745,+01.453,+10.223,+01.520,-00.073440,-00.529917,+00.836157*65
"
1698874269.583644,0,1698874269,540722370,GPS1_Frame,0,0,0,,-0.24172936317293736,-0.774417541834459,0.5823644907153314,0.051922883519244456,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.011326,-0.400553,0.719626,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.731,9.485,0.869,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.403e-05,-3.604e-05,-2.7350000000000004e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+153.644,+011.603,-108.839,-00.3403,-00.3604,-00.2735,+01.731,+09.485,+00.869,-00.011326,-00.400553,+00.719626*69
"
1698874269.5836532,0,1698874269,559774637,GPS1_Frame,0,0,0,,-0.2458024416383747,-0.7726133970610782,0.5836112981171271,0.04524987377215128,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.019016,-0.131075,0.511329,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.485,9.724,0.843,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-3.422e-05,-3.5010000000000005e-05,-2.724e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+153.692,+012.532,-108.807,-00.3422,-00.3501,-00.2724,+01.485,+09.724,+00.843,+00.019016,-00.131075,+00.511329*6C
"
