Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,IMU_backup
1698962794.9976192,0,1698962794,952501296,GPS1_Frame,0,0,0,,0.10792129124167249,0.08840266882578751,0.5354272088322979,0.8329799920065685,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001049,0.000771,0.000968,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.3,-2.705,-9.465,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.04e-06,-4.07e-06,1.732e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.719,+001.817,+015.938,+00.0504,-00.0407,+00.1732,+00.300,-02.705,-09.465,-00.001049,+00.000771,+00.000968*69
"
1698962794.9977376,0,1698962794,974590063,GPS1_Frame,0,0,0,,0.10792522454894572,0.0883963623457297,0.5354355683996941,0.8329747782031569,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000356,-0.001411,0.000136,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.271,-2.702,-9.513,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.94e-06,-3.61e-06,1.756e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.720,+001.816,+015.938,+00.0494,-00.0361,+00.1756,+00.271,-02.702,-09.513,+00.000356,-00.001411,+00.000136*64
"
1698962795.0406532,0,1698962795,1499652,GPS1_Frame,0,0,0,,0.10792838661342653,0.08839099779053908,0.5354511968864353,0.8329648915923765,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001119,-0.000802,0.000921,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.258,-2.712,-9.558,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.84e-06,-3.5000000000000004e-06,1.73e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.722,+001.815,+015.938,+00.0484,-00.0350,+00.1730,+00.258,-02.712,-09.558,-00.001119,-00.000802,+00.000921*6C
"
1698962795.0408142,0,1698962795,24610519,GPS1_Frame,0,0,0,,0.1079211176193611,0.08838632509398875,0.5354519682230171,0.832965833413511,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000434,0.001149,-0.000321,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.319,-2.72,-9.531,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.62e-06,-3.830000000000001e-06,1.718e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.722,+001.815,+015.937,+00.0462,-00.0383,+00.1718,+00.319,-02.720,-09.531,-00.000434,+00.001149,-00.000321*63
"
1698962795.085119,0,1698962795,49949884,GPS1_Frame,0,0,0,,0.10791743384484384,0.08840737769629588,0.535463553931257,0.8329566287943904,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001971,-0.000591,-9e-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.352,-2.716,-9.469,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.140000000000001e-06,-3.96e-06,1.719e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.724,+001.817,+015.938,+00.0514,-00.0396,+00.1719,+00.352,-02.716,-09.469,+00.001971,-00.000591,-00.000009*6F
"
1698962795.097021,0,1698962795,76244115,GPS1_Frame,0,0,0,,0.10791743384484384,0.08840737769629588,0.535463553931257,0.8329566287943904,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001934,0.000562,-9.7e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.33,-2.711,-9.517,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.04e-06,-3.84e-06,1.77e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.724,+001.817,+015.938,+00.0504,-00.0384,+00.1770,+00.330,-02.711,-09.517,+00.001934,+00.000562,-00.000097*65
"
1698962795.146075,0,1698962795,99824905,GPS1_Frame,0,0,0,,0.10791666234082276,0.08840831945019997,0.5354708228287173,0.8329519559616537,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000911,0.004375,-0.000296,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.347,-2.687,-9.553,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.62e-06,-3.95e-06,1.73e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.725,+001.817,+015.938,+00.0462,-00.0395,+00.1730,+00.347,-02.687,-09.553,-00.000911,+00.004375,-00.000296*68
"
1698962795.146135,0,1698962795,125920057,GPS1_Frame,0,0,0,,0.10791041408694287,0.08841745091129002,0.5354842700275383,0.8329431513969058,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.6e-05,0.005799,-0.000133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.392,-2.72,-9.496,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.050000000000001e-06,-3.6200000000000005e-06,1.7440000000000002e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.727,+001.818,+015.938,+00.0505,-00.0362,+00.1744,+00.392,-02.720,-09.496,+00.000046,+00.005799,-00.000133*64
"
1698962795.189214,0,1698962795,150330543,GPS1_Frame,0,0,0,,0.1079143477794497,0.08841114467151602,0.5354926292764255,0.8329379370828471,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001679,-0.003526,0.00042,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.344,-2.712,-9.466,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,4.72e-06,-3.84e-06,1.781e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.728,+001.817,+015.938,+00.0472,-00.0384,+00.1781,+00.344,-02.712,-09.466,-00.001679,-00.003526,+00.000420*6B
"
1698962795.1892889,0,1698962795,175076723,GPS1_Frame,0,0,0,,0.10790416553897186,0.0884265821744698,0.5354977170413553,0.832934346553062,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000582,0.001859,0.000213,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.339,-2.723,-9.536,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,5.050000000000001e-06,-3.5000000000000004e-06,1.718e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+065.729,+001.819,+015.938,+00.0505,-00.0350,+00.1718,+00.339,-02.723,-09.536,-00.000582,+00.001859,+00.000213*61
"
